2025-12-09 21:18:49,710: This process is not trusted! Input event monitoring will not be possible until it is added to accessibility clients.
2025-12-09 21:21:35,347: This process is not trusted! Input event monitoring will not be possible until it is added to accessibility clients.
2025-12-09 21:21:44,183: 'p'
2025-12-09 21:21:45,554: 'p'
2025-12-09 21:21:45,937: 'a'
2025-12-09 21:21:46,542: 'n'
2025-12-09 21:21:46,629: 'n'
2025-12-09 21:21:46,786: 't'
2025-12-09 21:21:46,882: 'h'
2025-12-09 21:21:47,739: '\\'
2025-12-09 21:21:48,120: '\\'
2025-12-09 21:21:48,895: Key.backspace
2025-12-09 21:21:49,138: Key.backspace
2025-12-09 21:21:49,484: Key.backspace
2025-12-09 21:21:50,817: 'h'
2025-12-09 21:21:50,996: Key.enter
2025-12-09 21:21:51,405: Key.enter
2025-12-09 21:21:51,697: Key.enter
2025-12-09 21:21:51,955: Key.enter
2025-12-09 21:21:52,239: 's'
2025-12-09 21:21:52,609: 'f'
2025-12-09 21:21:52,797: 'w'
2025-12-09 21:21:53,022: 'd'
2025-12-09 21:21:53,054: 'i'
2025-12-09 21:21:53,094: 'a'
2025-12-09 21:21:53,098: 'n'
2025-12-09 21:21:53,111: 's'
2025-12-09 21:21:53,246: 'f'
2025-12-09 21:21:53,254: 'i'
2025-12-09 21:21:53,322: 'n'
2025-12-09 21:21:53,447: 'e'
2025-12-09 21:21:53,502: 'i'
2025-12-09 21:21:53,577: 'n'
2025-12-09 21:21:53,587: 'f'
2025-12-09 21:21:53,590: 'g'
2025-12-09 21:21:54,388: Key.enter
2025-12-09 21:21:54,483: Key.enter
2025-12-09 21:21:57,202: 'w'
2025-12-09 21:21:57,524: 'w'
2025-12-09 21:21:57,750: 'w'
2025-12-09 21:21:57,942: Key.enter
2025-12-09 21:22:21,904: 'g'
2025-12-09 21:22:22,214: 'm'
2025-12-09 21:22:22,375: 's'
2025-12-09 21:22:22,523: 'd'
2025-12-09 21:22:22,531: 'k'
2025-12-09 21:22:22,663: 'n'
2025-12-09 21:22:23,373: Key.enter
2025-12-09 21:22:24,086: 'p'
2025-12-09 21:22:24,243: 'a'
2025-12-09 21:22:24,478: 'n'
2025-12-09 21:22:24,582: 't'
2025-12-09 21:22:24,722: 'h'
2025-12-09 21:22:24,987: Key.space
2025-12-09 21:22:25,496: ']'
2025-12-09 21:22:26,167: Key.backspace
